Basketball Still Open,Borough,ClosureType,EditDate,GISpropNum,Handball Still Open,MPPA Still Open,OMPpropID,Red Sign Installed,Status,Tennis Still Open,accessibility,accessibilityLevel,location,name,point,rules,system,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
,X,Completely Locked,05/21/2020 11:10:00 AM,X170,,,X170,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,St. Peter's Ave. at Tratman Ave.,The Pearly Gates,POINT (-73.84556077046427 40.83859644915696),Adults Allowed,X170-CPA-0001,"11,270",43,5,12,28
,Q,Not Lockable,05/21/2020 11:08:08 AM,Q023,,,Q023-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Jamaica Ave & 153 St,Rufus King Park Playground,POINT (-73.80336821111237 40.70390227422405),Adults not allowed in some locations,Q023-CPA-0001,"24,340",41,3,24,61
,B,Completely Locked,05/21/2020 11:05:58 AM,B139,,,B139,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Linden St. bet. Central Ave. and Wilson Ave.,Heckscher Playground,POINT (-73.9185266176717 40.694866475393574),Adults not allowed in some locations,B139-CPA-0001,"18,181",42,2,37,53
,Q,Completely Locked,05/21/2020 11:08:38 AM,Q266,,,Q266,,COVID-19 Closure,,false,Not Applicable,"Mott Ave., Westbourne Ave. bet. Bay 28 St. and Bay 25 St.",Westbourne Playground,POINT (-73.7648708403608 40.60845410832932),Adults Allowed,Q266-CPA-0001,"20,529",51,3,47,59
,B,Completely Locked,05/21/2020 11:10:21 AM,B541,,,B541,,COVID-19 Closure,,,,Berriman St. between Vandalia Ave. and Schroeders Ave.,Berriman Playground,POINT (-73.86947701605501 40.656840370970976),,,"17,215",45,2,25,47
,R,Partially Locked,05/21/2020 11:09:23 AM,R071,,,R071,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Hillcrest Ave., N/o Highmount Rd.",Great Kills Veterans Playground,POINT (-74.15162739845856 40.546904866889186),Adults Allowed,R071-CPA-0001,"10,695",15,1,9,76
true,Q,Partially Locked,05/21/2020 11:08:03 AM,Q015,true,,Q015-02,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Tpke, Park Lane S, Adj Overlook",Sobelsohn Park,POINT (-73.83597799420569 40.7095355541116),Unknown,Q015-CPA-0001,"24,014",38,3,28,60
,M,Partially Locked,05/21/2020 11:07:21 AM,M077,,,M077-03,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 140 St & St Nicholas Ave,Arlington Edinboro Playground,POINT (-73.9467791341592 40.820646850203865),Adults Allowed,M077-CPA-0002,"12,428",37,4,36,17
,Q,Completely Locked,05/21/2020 11:07:58 AM,Q001,,,Q001-99,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Nr Springfield Lot, Ballfields",Alley Springfield Playground,POINT (-73.74881668635344 40.741521573077385),Unknown,Q001-CPA-0003,"14,197",26,3,16,69
,B,Completely Locked,05/21/2020 11:06:47 AM,B329,,,B329-01,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Mill & Strickland Aves, 60 St",Lindower Park Playground,POINT (-73.91119189475756 40.612390179302956),Adults Allowed,B329-CPA-0001,"13,825",5,2,8,38
,B,Not Lockable,05/21/2020 11:06:03 AM,B159,,,B159-01,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Eastern Pkwy Between Washington Ave & Flatbush Ave,Mt Prospect Park Playground,POINT (-73.96608484505705 40.672090477679674),Adults not allowed in some locations,B159-CPA-0001,"13,829",13,2,48,50
,X,Completely Locked,05/21/2020 11:10:09 AM,X222,,,X222,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,3 Av bet. E 170 St and St Paul's Pl,Gouverneur Playground,POINT (-73.90328826120341 40.83600234126457),Adults Allowed,X222-CPA-0001,"10,934",34,5,42,25
,X,Completely Locked,05/21/2020 11:09:39 AM,X038,,,X038-02,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Reservoir & Sedgwick Aves,Fort #4 Playground,POINT (-73.90110723728873 40.874430741368045),Unknown,X038-CPA-0002,"11,606",48,5,29,33
,B,Completely Locked,05/21/2020 11:51:40 AM,B395,,,B395,,COVID-19 Closure,,false,Not Applicable,"Flushing Ave., Central Ave., Noll St., Evergreen Ave.",Green Central Knoll,POINT (-73.9332102807522 40.70249062850898),Adults Allowed,B395-CPA-0001,"17,213",42,2,30,53
,B,Completely Locked,05/21/2020 11:06:47 AM,B330,,,B330,,COVID-19 Closure,,false,Not Applicable,Veterans Ave. between E. 66 St. and E 68 St.,Hickman Playground,POINT (-73.91210424772639 40.62019061662257),Adults Allowed,B330-CPA-0001,"13,825",5,2,8,38
,Q,Partially Locked,05/21/2020 11:08:55 AM,Q353,,true,Q353,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Grassmere Terr., Briar Pl. bet. Hanson Ct. and Brookhaven Ave.",Grassmere Playground,POINT (-73.75927441712919 40.59952583513948),Unknown,Q353-CPA-0001,"20,529",51,3,47,59
,X,Completely Locked,05/21/2020 11:09:35 AM,X013,,,X013-02,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Sedgwick Ave & Fordham Rd,Devoe Park,POINT (-73.90780805719162 40.86315850486025),Adults not allowed in some locations,X013-CPA-0002,"11,606",24,5,29,34
,Q,Partially Locked,05/21/2020 11:08:58 AM,Q362,,,Q362,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"89 St., 90 St. bet. Northern Blvd. and Jackson Mill Rd.",Playground Ninety,POINT (-73.87859693257602 40.757537756487174),Adults Allowed,Q362-CPA-0001,"14,511",65,3,5,73
true,Q,Partially Locked,05/21/2020 11:08:01 AM,Q009,true,,Q009-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Poppenhusen Ave, opp 119 St",MacNeil Playground,POINT (-73.85113093392734 40.793337138932976),Unknown,Q009-CPA-0001,"14,191",22,3,20,67
false,X,Partially Locked,05/21/2020 11:10:03 AM,X194,false,,X194,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 156 St bet. Jackson Av and Forest Av,Captain Rivera Playground,POINT (-73.90701872832344 40.81813667115741),Adults Allowed,X194-CPA-0001,"10,933",49,5,43,23
,M,Completely Locked,05/21/2020 11:07:45 AM,M230,,,M230,,COVID-19 Closure,,false,Not Applicable,E. 109 St. bet. 2 Ave. and 3 Ave.,Poor Richard's Playground,POINT (-73.94312925707106 40.793125478251845),Adults Allowed,M230-CPA-0001,"12,426",7,4,35,14
,B,Completely Locked,05/21/2020 11:06:46 AM,B322,,,B322,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Hart St. to Pulaski St. between Throop Ave. and Marcus Garvey Blvd.,Pulaski Playground,POINT (-73.94212638953422 40.69346683108732),Adults Allowed,B322-CPA-0001,"17,213",69,2,49,51
true,Q,Partially Locked,05/21/2020 11:09:07 AM,Q413,true,,Q413-02,,COVID-19 Closure,true,true,Level 1: Playgrounds for All Children,Nr Guy Brewer Blvd & 134 Ave,Rochdale Park Playground,POINT (-73.77531935199531 40.6741779997591),Adults not allowed in some locations,Q413-CPA-0001,"24,669",41,3,46,71
,B,Completely Locked,05/21/2020 11:06:06 AM,B197,,,B197,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Avenue V bet. E. 13 St. and E. 14 St.,Mellett Playground,POINT (-73.95733950543395 40.59725648925278),Adults Allowed,B197-CPA-0001,"13,512",32,2,15,36
,Q,Partially Locked,05/21/2020 11:08:41 AM,Q300A1,,,Q300A1,,COVID-19 Closure,,false,Not Applicable,Peck Ave. bet. 61 Rd. and 67 Ave.,Holy Cow Playground,POINT (-73.77623262469093 40.74118837025069),Adults Allowed,Q300A1-CPA-0001,"14,507",25,3,16,65
,B,Completely Locked,05/21/2020 11:06:10 AM,B215,,,B215,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.",Decatur Playground,POINT (-73.9367617762036 40.68139809214805),Adults Allowed,B215-CPA-0001,"13,516",69,2,49,52
,M,Completely Locked,05/21/2020 11:07:02 AM,M010,,,M010-031,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"62 St, Bet West & Center Drs",Heckscher Plgd,POINT (-73.97729696782677 40.768626553726456),Unknown,M010-CPA-0001,,19,4,19,13
,B,Completely Locked,05/21/2020 11:06:36 AM,B292,,,B292,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Willoughby Ave. between Stuben St. and Emerson Pl.,Pratt Playground,POINT (-73.96249850529055 40.692520856698415),Adults Allowed,B292-CPA-0001,"17,212",68,2,48,55
,B,Completely Locked,05/21/2020 11:05:39 AM,B012,,,B012-03,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Brooklyn Ave & Prospect Pl,Brower Park,POINT (-73.94319412944296 40.67416409941256),Adults Allowed,B012-CPA-0002,"17,615",16,2,49,49
,B,Completely Locked,05/21/2020 11:06:53 AM,B352,,,B352,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Foster Ave. between E. 81 St. and E. 82 St.,Curtis Playground,POINT (-73.91736295601812 40.640976520387),Adults Allowed,B352-CPA-0001,"13,827",5,2,8,42
,B,Completely Locked,05/21/2020 11:05:56 AM,B114,,,B114-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Nassau Ave Bet Monitor St & Russell St,Monsignor Mcgolrick Playground,POINT (-73.94355865987986 40.72526513474084),Adults not allowed in some locations,B114-CPA-0001,"18,182",36,2,38,57
,Q,Completely Locked,05/21/2020 11:09:14 AM,QT06,,,QT06,,COVID-19 Closure,,false,Not Applicable,"51 Ave. bet. Jackson Ave., Vernon Blvd. and 11 St.",Old Hickory Playground,POINT (-73.95355351987043 40.74175309647464),Adults Allowed,QT06-CPA-0001,"16,858",53,3,33,66
,B,Completely Locked,05/21/2020 01:50:51 PM,B057,,,B057-06,,COVID-19 Closure,,,,,Seba Playground,POINT (-73.92030019627312 40.589231188161264),,,"13,825",5,2,8,38
,B,Completely Locked,05/21/2020 11:06:22 AM,B250,,,B250,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Nostrand Ave. between Foster Ave. and Farragut Pl.,Nostrand Playground,POINT (-73.94782875835836 40.638401193800014),Adults not allowed in some locations,B250-CPA-0001,"17,217",61,2,26,40
,Q,Completely Locked,05/21/2020 11:09:02 AM,Q385,,,Q385,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Steinway St. bet. 23 Ave. and Ditmars Blvd.,Ditmars Playground,POINT (-73.907434959676 40.771373845290626),Adults Allowed,Q385-CPA-0001,"16,862",39,3,4,72
,B,Completely Locked,05/21/2020 11:10:27 AM,B287,,,B287,,COVID-19 Closure,,,,,Andries Playground,POINT (-73.94645526094929 40.62283326105003),,,"17,217",60,2,26,43
,X,Completely Locked,05/21/2020 11:10:25 AM,X282,,,X282,,COVID-19 Closure,,,,Southern Blvd bet. E 174 St and E 173 St,Seabury Playground,POINT (-73.88787060431027 40.83648824442089),,,"11,269",34,5,43,25
,M,Completely Locked,05/21/2020 11:07:43 AM,M215,,,M215,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"99 St. To 100 St., 3 Ave.",Cherry Tree Park,POINT (-73.94748026436802 40.78722837088255),Adults Allowed,M215-CPA-0001,"12,426",7,4,35,14
,X,Completely Locked,05/21/2020 11:10:05 AM,X207,,,X207,,COVID-19 Closure,,false,Not Applicable,Jackson Ave. bet. E. 151 St. and E. 149,Pontiac Playground,POINT (-73.90835105941449 40.81441376280837),Adults Allowed,X207-CPA-0001,"10,933",49,5,35,23
,B,Completely Locked,05/21/2020 11:06:37 AM,B297,,,B297,,COVID-19 Closure,,false,Not Applicable,"Albemarle Rd., Dahill Rd., Mcdonald Ave.",Albemarle Playground,POINT (-73.98035508344434 40.645903835347156),Adults Allowed,B297-CPA-0001,"17,620",2,2,27,39
,Q,Completely Locked,05/21/2020 11:08:20 AM,Q099,,,Q099-20,,COVID-19 Closure,,false,Not Applicable,Park Dr East & 73 Terrace,Albert H. Mauro Playground,POINT (-73.8269710252968 40.72260401773191),Unknown,Q099-CPA-0006,"14,509",25,3,24,65
,Q,Completely Locked,05/21/2020 11:08:51 AM,Q340,,,Q340,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Skillman Ave. bet. 41 St. and 43 St.,Torsney Playground,POINT (-73.92251112139127 40.74735782167306),Adults not allowed in some locations,Q340-CPA-0001,"16,858",53,3,33,66
,R,Completely Locked,05/21/2020 11:09:16 AM,R015,,,R015,,COVID-19 Closure,,false,Not Applicable,"Delafield Pl., Bard Ave., and Davis Ave.",Walker Park,POINT (-74.11044737788369 40.64367036443326),Adults not allowed in some locations,R015-CPA-0001,"10,697",4,1,13,74
,X,Completely Locked,05/21/2020 11:10:11 AM,X262,,,X262,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Bolton Ave. bet. O'Brien Ave. and G St.,Harding Park,POINT (-73.8566670891194 40.809774781117966),Adults Allowed,X262-CPA-0001,"11,611",58,5,31,26
,Q,Completely Locked,05/21/2020 11:08:43 AM,Q300,,,Q300-06,,COVID-19 Closure,,false,Not Applicable,Main St & 56 Ave,NYHMC Playground,POINT (-73.82546753252855 40.7484648646747),Unknown,Q300-CPA-0005,"14,190",22,3,3,67
,B,Completely Locked,05/21/2020 11:06:19 AM,B243,,,B243,,COVID-19 Closure,,false,Not Applicable,Gold St. between Nassau St. and Concord St.,Golconda Playground,POINT (-73.9827097749947 40.69771785742067),Adults Allowed,B243-CPA-0001,"16,865",68,2,38,54
false,X,Partially Locked,05/21/2020 11:09:42 AM,X045,false,,X045-03,,COVID-19 Closure,false,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,St Ann's Ave & E 147 St,St Mary's Playground West,POINT (-73.91287624303331 40.81280584042627),Adults Allowed,X045-CPA-0003,"10,933",49,5,35,23
,Q,Completely Locked,05/21/2020 11:08:46 AM,Q319,,,Q319,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Yellowstone Blvd. bet. 64 Rd. and 65 Ave.,Annadale Playground,POINT (-73.85157396572987 40.731132384440635),Adults Allowed,Q319-CPA-0001,"14,785",40,3,28,70
,M,Completely Locked,05/21/2020 11:07:15 AM,M056,,,M056-01,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,W 123 St & Morningside Ave,Playground 123,POINT (-73.95608969094445 40.809960536126546),Adults Allowed,M056-CPA-0001,"12,422",37,4,23,17
,M,Completely Locked,05/21/2020 11:07:33 AM,M144,,,M144-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 11 St & East River Dr,East River Playground,POINT (-73.97265758054068 40.724278136830506),Unknown,M144-CPA-0001,"11,729",70,4,50,5
,Q,Partially Locked,05/21/2020 11:08:42 AM,Q300A,,,Q300A-01,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Peck Ave & 188 St,Underhill Playground,POINT (-73.78789747278 40.74478630033872),Unknown,Q300A-CPA-0001,"14,507",26,3,3,69
,R,Not Lockable,05/21/2020 11:09:22 AM,R065,,,R065-01,,COVID-19 Closure,,false,Not Applicable,Inside Willowbrook Park Adj To Carousel For All Children,Willowbrook (Carousel) Adventure Station,POINT (-74.158018438054 40.60313905662303),Unknown,R065-CPA-0001,"10,700",30,1,14,75
,B,Completely Locked,05/21/2020 11:06:49 AM,B337,,,B337,,COVID-19 Closure,,false,Not Applicable,W. Brighton Ave. between W. 2 St. and W. 3 St.,Century Playground,POINT (-73.97115583360859 40.57716991649818),Adults not allowed in some locations,B337-CPA-0002,"18,184",21,2,15,35
false,X,Partially Locked,05/21/2020 11:10:28 AM,X211,,,X211,,COVID-19 Closure,,,,,Stebbins Playground,POINT (-73.89851728719871 40.822767330766645),,,"10,937",8,5,43,24
,X,Completely Locked,05/21/2020 11:09:56 AM,X154,,,X154,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Courtlandt Av bet. E 154 St and E 155 St,Melrose Playground,POINT (-73.91814726553423 40.82044315521294),Adults Allowed,X154-CPA-0001,"10,929",49,5,43,23
false,X,Partially Locked,05/21/2020 11:09:51 AM,X122,false,,X122,,COVID-19 Closure,,false,Not Applicable,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,Colucci Playground,POINT (-73.83507514554663 40.85223423158884),Adults Allowed,X122-CPA-0001,"11,270",43,5,12,28
,B,Completely Locked,05/21/2020 11:06:38 AM,B304,,,B304,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",Kennedy King Playground,POINT (-73.92201053539482 40.658379050984294),Adults Allowed,B304-CPA-0001,"17,614",61,2,17,40
,M,Completely Locked,05/21/2020 11:07:06 AM,M010,,,M010-241,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,110 St & Cathedral Pkwy,110th St Plgd,POINT (-73.95704423078804 40.799783354605296),Unknown,M010-CPA-0019,,19,4,19,13
,Q,Completely Locked,05/21/2020 11:10:26 AM,Q357B01,,,Q357B01,,COVID-19 Closure,,,,"Horace Harding Exwy. Sr. Rd. S., 62 Ave. bet. 102 St. and Yellowstone Blvd.",Barrier Playground,POINT (-73.8549336173634 40.73626992174455),,,"14,785",40,3,28,70
,X,Completely Locked,05/21/2020 11:10:05 AM,X205,,,X205,,COVID-19 Closure,,false,Not Applicable,"Watson Ave., Blackrock Ave. bet. Virginia Ave., Pugsley Ave.",Black Rock Playground,POINT (-73.85801036487362 40.82837175323094),Adults not allowed in some locations,X205-CPA-0001,"11,610",58,5,31,26
,B,Completely Locked,05/21/2020 11:06:05 AM,B166D,,,B166D-01,,COVID-19 Closure,,false,Not Applicable,Bergen Ave And Avenue W,McGuire Fields Tot Lot,POINT (-73.89919497759543 40.62002345785997),Unknown,B166D-CPA-0001,"13,825",5,2,8,38
,Q,Completely Locked,05/21/2020 11:08:27 AM,Q123,,,Q123,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,14 St. bet. 31 Ave. and 31 Dr.,Astoria Health Playground,POINT (-73.9327095184499 40.76797798915183),Adults Allowed,Q123-CPA-0001,"16,863",39,3,4,72
false,X,Not Lockable,05/21/2020 11:09:34 AM,X010,false,,X010-07,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Crotona E-Claremont, Charlotte",Carter Plgd (7),POINT (-73.89445982148537 40.83690050596134),Adults Allowed,X010-CPA-0006,,34,5,43,25
,B,Completely Locked,05/21/2020 11:06:26 AM,B262,,,B262,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Tompkins Ave. between Halsey St. and Macon St.,Potomac Playground,POINT (-73.944052819326 40.681956902931184),Adults Allowed,B262-CPA-0001,"17,618",69,2,49,51
,M,Completely Locked,05/21/2020 11:07:54 AM,M285,,,M285,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lexington Ave. bet. E. 122 St. and 123 St.,Dr. Ronald E. McNair Playground,POINT (-73.93798001089854 40.802674888284784),Adults Allowed,M285-CPA-0001,"13,093",7,4,35,16
,Q,Completely Locked,05/21/2020 11:08:18 AM,Q099,,,Q099-16,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,W/s Of Meadow Lake & G C Pkwy,Jurassic Playground,POINT (-73.84369483382643 40.73527085222184),Unknown,Q099-CPA-0003,"14,509",67,3,24,68
,R,Completely Locked,05/21/2020 11:09:30 AM,R125,,,R125,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Palma Dr. bet. Targee St. and Oder Ave.,Lopez Playground,POINT (-74.08491831812051 40.61151384677659),Adults Allowed,R125-CPA-0001,"10,691",4,1,13,74
,X,Not Lockable,05/21/2020 11:09:41 AM,X040,,,X040,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Grand Concourse bet. E. 192 St. and E. K,Poe Park,POINT (-73.89452048501973 40.864805210590106),Adults not allowed in some locations,X040-CPA-0001,"10,936",24,5,22,34
,Q,Completely Locked,05/21/2020 11:09:02 AM,Q382,,,Q382,,COVID-19 Closure,,false,Not Applicable,Arverne Blvd. bet. Beach 57 St. and Beach 56 St.,Cardozo Playground,POINT (-73.78661798375475 40.59375648470952),Adults Allowed,Q382-CPA-0001,"20,530",51,3,47,59
false,X,Completely Locked,05/21/2020 11:10:13 AM,X283,,,X283,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Billingsley Ter bet. Phelan Pl and Sedwick Av,Beanstalk Playground,POINT (-73.91676317184424 40.85388249124289),Adults Allowed,X283-CPA-0001,"10,931",6,5,29,29
,M,Completely Locked,05/21/2020 11:07:34 AM,M160,,,M160,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Lenox Ave., W. 139 St. To W. 140 St.",Fred Samuel Playground,POINT (-73.9392601344391 40.81729717824485),Adults Allowed,M160-CPA-0001,"12,427",18,4,36,20
,B,Completely Locked,05/21/2020 11:06:16 AM,B225,,,B225,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Atlantic Ave., Herkimer St., Kingston Ave., St Andrew's Pl.",St. Andrew's Playground,POINT (-73.94170461270342 40.67898957307721),Adults Allowed,B225-CPA-0001,"17,618",69,2,49,51
true,B,Partially Locked,05/21/2020 11:06:25 AM,B257,true,,B257,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Frost St. bet. Debevoise Ave. and Kingsland Ave.,Frost Playground,POINT (-73.93924066197896 40.71868533333982),Adults not allowed in some locations,B257-CPA-0001,"18,182",36,2,30,57
,Q,Completely Locked,05/21/2020 11:08:39 AM,Q291,,,Q291,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Onderdonk Ave. bet. Starr St. and Willoughby Ave.,Starr Playground,POINT (-73.91769248314911 40.70994074790033),Adults Allowed,Q291-CPA-0001,"15,310",54,3,30,62
,X,Completely Locked,05/21/2020 11:10:04 AM,X200,,,X200,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"3 Ave. bet. E, 145 St. and E. 144 St.",Clark Playground,POINT (-73.92142728973751 40.81367664284984),Adults Allowed,X200-CPA-0001,"10,932",49,5,35,23
,Q,Completely Locked,05/21/2020 11:09:08 AM,Q425,,,Q425,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Yellowstone Blvd. bet. 68 Ave. and 68 Rd.,Yellowstone Park,POINT (-73.8479286680021 40.726169539680456),Adults Allowed,Q425-CPA-0001,"14,786",40,3,28,70
,M,Completely Locked,05/21/2020 11:07:21 AM,M072,,,M072-03,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 148 St & Riverside Dr,Palisades Playground,POINT (-73.95063454749473 40.829055965623226),Unknown,M072-CPA-0002,"12,428",37,4,23,19
,M,Completely Locked,05/21/2020 11:07:48 AM,M239,,,M239,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 117 St. To E. 118 St., 1 Ave. To 2 Ave.",P.S. 155 Playground,POINT (-73.93521856410459 40.797376709451335),Adults Allowed,M239-CPA-0001,"13,093",7,4,35,16
,Q,Completely Locked,05/21/2020 11:08:05 AM,Q015,,,Q015-09,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Freedom Dr, Pk Lane S, 102 St",Giovanelli Playground,POINT (-73.84761201169628 40.69891355398081),Unknown,Q015-CPA-0006,"24,014",38,3,34,60
,B,Completely Locked,05/21/2020 11:06:35 AM,B284,,,B284,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Sterling St., Empire Blvd., New York Ave., Nostrand Ave.",Marc And Jason's Playground,POINT (-73.94999585722665 40.66351937712341),Adults Allowed,B284-CPA-0001,"13,509",17,2,11,44
,X,Completely Locked,05/21/2020 11:10:11 AM,X266,,,X266,,COVID-19 Closure,,false,Not Applicable,E. 180 St. bet. Daly Ave. and Vyse Ave.,Vidalia Park,POINT (-73.88150371459481 40.844251995656776),Adults Allowed,X266-CPA-0001,"11,269",35,5,43,31
,Q,Completely Locked,05/21/2020 11:08:30 AM,Q133,,,Q133,,COVID-19 Closure,,false,Not Applicable,"Hempstead Ave., 225 St. and 224 St. Cross Island Parkway Exit at 225 St.",Pat Williams Playground,POINT (-73.72954832402824 40.71292589875154),Adults Allowed,Q133-CPA-0001,"24,338",63,3,6,63
,Q,Completely Locked,05/21/2020 11:08:14 AM,Q066F,,,Q066F,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Hoyt Ave. North bet. 29 St. and 31 St.,Hoyt Playground,POINT (-73.9171429413383 40.77181929430339),Adults Allowed,Q066F-CPA-0001,"16,859",39,3,4,72
,B,Completely Locked,05/21/2020 11:07:00 AM,B404,,,B404,,COVID-19 Closure,,false,Not Applicable,E. 94 St. bet. Rutland Rd. and E. New York Ave.,East Flatbush Children's Playground,POINT (-73.92699383493535 40.663244954498914),Adults not allowed in some locations,B404-CPA-0001,"17,614",61,2,17,40
,M,Completely Locked,05/21/2020 11:07:17 AM,M067,,,M067,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Henry St., Market St., E. Broadway",Sophie Irene Loeb,POINT (-73.99431292062546 40.7132593794185),Adults not allowed in some locations,M067-CPA-0001,"11,723",70,4,32,2
,M,Completely Locked,05/21/2020 11:07:57 AM,M386,,,M386,,COVID-19 Closure,,false,Not Applicable,"Front St., John St., and South St.",Imagination Playground,POINT (-74.00431963933136 40.706353579840496),Adults Allowed,M386-CPA-0001,"13,096",56,4,32,1
,M,Completely Locked,05/21/2020 11:07:11 AM,M037,,,M037-03,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 180 St & Amsterdam Ave,Quisqueya Plgd,POINT (-73.93117079882025 40.84712948452067),Adults Allowed,M037-CPA-0001,"13,091",47,4,39,22
